brand,tier,year,season,dispersion_mean,dispersion_std,lab_entropy_mean,mean_L,saturation_mean,saturation_std,value_mean,hue_conc_mean,hue_mean,n_images,ARI_raw,ARI
Isabel Marant,Fast Fashion,2009,Fall,28.445971870422362,5.756575734566458,2.183960542363738,35.012093766530356,0.1595842303872729,0.20178010254228065,0.36488601970445983,0.567725517258293,0.22110466547434526,30,0.5690413247769626,0.32156464305948285
Isabel Marant,Fast Fashion,2010,Fall,31.05490706761678,7.78795054050472,2.426665992510059,33.90761111577352,0.3143242303253462,0.2640474904798546,0.39073229413836574,0.7908831292306725,0.32627637716256236,30,1.584391265127601,0.8953378066821656
Isabel Marant,Fast Fashion,2010,Spring,29.453012466430664,5.779496338467598,2.4922765836328424,45.073695755004884,0.2700096786951646,0.21921922813907668,0.5101171333824284,0.5576188522073807,0.4052410201933778,30,0.6854177248633605,0.38732882208285696
Isabel Marant,Fast Fashion,2011,Fall,24.36820562954607,8.395418590939942,2.467457940229614,40.36774069687416,0.19430305170335258,0.18262190440913423,0.4275694459162267,0.4660128881821323,0.4341888454622942,29,0.3605675649403978,0.20375634469839465
Isabel Marant,Fast Fashion,2011,Spring,29.179762840270996,6.872935258545903,2.3095470969181293,36.61407102857317,0.3606132793777755,0.2814821472575183,0.4196848817035955,0.7555153830774232,0.38156112460770447,28,1.5839492856809225,0.8950880445703076
Isabel Marant,Fast Fashion,2012,Fall,28.68650697072347,8.720932746359,2.3577121253105613,37.038503646850586,0.301922651463033,0.24618360814570378,0.4186028840844519,0.6300259114576385,0.2685294613722323,30,1.261198739341995,0.7127020565730224
Isabel Marant,Fast Fashion,2012,Spring,29.96033624013265,6.320723036590143,2.497419776212476,50.479987970987956,0.3637370155374519,0.23401394122690186,0.5849477164550995,0.5927509680120069,0.3800324431840796,30,0.7353259482406518,0.4155319056503675
Isabel Marant,Fast Fashion,2013,Fall,15.023117526372273,6.580688921678523,2.09979573478241,30.239063707987466,0.15809425857812162,0.14441657743524444,0.3209286335531001,0.6716317771098975,0.44958521403521295,30,-0.44675605759755926,-0.2524613695715847
Isabel Marant,Fast Fashion,2013,Spring,35.61249193651923,4.604882926339962,2.791910447214214,49.657488855822336,0.35750013355111127,0.29953511186135995,0.5589614686324292,0.5359996718984695,0.4831375937655263,29,1.9025865099487822,1.0751495986715305
Isabel Marant,Fast Fashion,2014,Fall,18.47856806119283,8.11643602848375,2.0422374512996333,31.30819902420044,0.2478728424393882,0.1533609891797312,0.3342805291725012,0.8004120196785304,0.3076529598510824,30,-0.19220086384584462,-0.10861250226868485
