brand,tier,year,season,dispersion_mean,dispersion_std,lab_entropy_mean,mean_L,saturation_mean,saturation_std,value_mean,hue_conc_mean,hue_mean,n_images,bw_collection
Alexander McQueen,Avant-garde,2000,Fall,30.53680280049642,2.280886472887634,3.003628425492281,42.480880419413246,0.15585683655217286,0.14707047909189536,0.43209543410524104,0.39710574793782993,0.34434052788087477,30,0
Alexander McQueen,Avant-garde,2000,Spring,25.478574752807617,6.243498098552842,2.0308895821748965,11.706054170926413,0.49920279950872065,0.24367379131041533,0.1504549048801573,0.6289432096740364,0.5034093879080067,30,0
Alexander McQueen,Avant-garde,2001,Fall,26.969955317179362,5.486499182447995,2.2290499822927696,21.84103914896647,0.46891482560193787,0.21232634246422316,0.28584863342375805,0.7373739118298196,0.6820066228594839,30,0
Alexander McQueen,Avant-garde,2001,Spring,27.661971728007,3.0126268582952296,2.76443481178751,63.81950333913167,0.09850186640744404,0.12657188417589296,0.6344088977950936,0.39654012238052705,0.3115270360502104,30,0
Alexander McQueen,Avant-garde,2002,Fall,20.55385538736979,4.699826544524423,2.613676156906386,19.581825319925944,0.3631235704926153,0.23260182586595943,0.23370614942256357,0.7702274406603377,0.5384494318559144,30,0
Alexander McQueen,Avant-garde,2002,Spring,24.446269512176514,7.581466106354691,2.270696600548296,16.53817539215088,0.4573269561763232,0.25040194394704707,0.21986771669074268,0.7898132994739946,0.6868378905170494,30,0
Alexander McQueen,Avant-garde,2003,Fall,29.532200876871745,2.2164394175174977,2.777853874461271,39.05508041381836,0.22860165057834234,0.23020302381493113,0.4047707278728174,0.5056335749094355,0.30779667883051764,30,0
Alexander McQueen,Avant-garde,2003,Spring,33.144477383843785,6.246187577853823,1.9657317086834694,71.80619706778691,0.30993373700616683,0.2529894458356491,0.7704860107300097,0.8400043565268933,0.1701486090036248,29,0
Alexander McQueen,Avant-garde,2004,Fall,38.23574566018993,5.274187600213288,2.4504613056654883,38.12153368982776,0.3242159872058265,0.24478781280392473,0.41193482637659096,0.6568910686670921,0.29153780287711867,29,0
Alexander McQueen,Avant-garde,2004,Spring,26.770746421813964,4.02067178698021,2.5967425612441164,23.69013827641805,0.41835811070694273,0.2227467401791703,0.27880392778602736,0.5555495139003374,0.38075635690004045,30,0
Alexander McQueen,Avant-garde,2005,Fall,23.612238216400147,4.804974321606083,2.117895419053879,46.736280822753905,0.23118241862474628,0.1595602562026478,0.5115945170463063,0.8197948596978065,0.43042693122612935,30,0
Alexander McQueen,Avant-garde,2005,Spring,26.144489669799803,3.6560375059127805,2.7489294803525928,65.39811604817709,0.14499167802482837,0.1489294547221688,0.6706222320586133,0.46712812004028076,0.2756886852410104,30,0
Alexander McQueen,Avant-garde,2006,Fall,29.770628134409588,8.175443097388756,2.3410949082594366,33.58349631627401,0.2952387804891293,0.27446309384794715,0.3517736017603737,0.6979059387707399,0.25510577622383,30,0
Alexander McQueen,Avant-garde,2006,Spring,24.482699807484945,4.724307297829484,2.7780860968527015,52.31312026977539,0.13542831035666167,0.1367620933660172,0.5233226259883803,0.6012709139033076,0.3492409114617647,30,0
Alexander McQueen,Avant-garde,2007,Fall,29.049981117248535,11.326268756425183,2.1032279430025334,36.33029004732768,0.17229836894497272,0.23310469109654805,0.38175372897383447,0.6279052228457085,0.1883349936875204,30,0
Alexander McQueen,Avant-garde,2007,Spring,26.649890570804992,3.4327896261315907,2.511133061790266,46.20308270947687,0.29712045191376113,0.24329925800811064,0.48461583241740047,0.5434623297281493,0.2893352177874238,29,0
Alexander McQueen,Avant-garde,2008,Fall,34.286555735270184,5.261884846731009,2.275719061446145,42.296429824829104,0.21446964023280884,0.20604455422482046,0.45737229643814886,0.6194964680493226,0.2029223843519472,30,0
Alexander McQueen,Avant-garde,2008,Spring,32.02043399810791,3.030047227750497,2.5539073405146406,50.32154769897461,0.2513668866616984,0.22018906617398387,0.5443992253862632,0.5123347419915032,0.49159738513347173,30,0
Alexander McQueen,Avant-garde,2009,Fall,25.238282532527528,5.658264312594451,2.319974563610867,17.273361074513403,0.3321125723727947,0.22812764397426388,0.20921785408984223,0.49320280334535943,0.532936789489683,29,0
Alexander McQueen,Avant-garde,2009,Pre-Fall,33.282117571149556,5.001301804569576,1.3087577581417833,80.38609613691058,0.08983646813992939,0.17438949170783088,0.8164173698486826,0.8400352910286164,0.12355169291302026,28,0
Alexander McQueen,Avant-garde,2009,Spring,26.09999345143636,5.046236046097657,2.6433567492778334,52.32509059906006,0.16733838949836785,0.1843768719425735,0.5382674616345825,0.535546250179984,0.2545749237078138,30,0
Alexander McQueen,Avant-garde,2010,Fall,27.88804580425394,3.7297262864184595,2.231335962273802,49.7688444729509,0.3242322951066468,0.19876129776713983,0.5506591054743541,0.8583216168106931,0.33976350589439097,29,0
Alexander McQueen,Avant-garde,2010,Resort,27.27777598454402,5.6585525688957405,1.149534699877917,88.859739450308,0.07521815919489237,0.16611464427971875,0.908447362636431,0.7700040792052169,0.10967971083932576,26,0
Alexander McQueen,Avant-garde,2010,Spring,31.514163462320962,7.50097696877443,2.4208405966467144,69.7592207590739,0.23692256253001587,0.21320906333552428,0.7660465420967899,0.49856481176888273,0.46494821251473495,30,0
Alexander McQueen,Avant-garde,2011,Fall,30.00663204193115,3.6124473211168517,2.438346598656044,41.257128429412845,0.23031973386841512,0.19639576345071402,0.44850327896143616,0.38020537545378097,0.2895145882556525,30,0
Alexander McQueen,Avant-garde,2011,Pre-Fall,30.058416684468586,4.6960743988578715,0.9898227020362417,86.12186126708984,0.07021743784844871,0.15595115289258205,0.875912420395265,0.7460067540097267,0.11243742095819774,30,0
Alexander McQueen,Avant-garde,2011,Resort,27.50738992009844,11.110619055499054,1.3135375787376888,87.05497251238141,0.08651451286653584,0.18167477500283755,0.8858854358654602,0.8288589583972396,0.16421763616119553,28,0
Alexander McQueen,Avant-garde,2011,Spring,34.3291296005249,6.277767591382029,2.7364999467323297,55.90462220509847,0.15961044911437974,0.20501886371217004,0.5695241910917683,0.417128547966125,0.2816535223824489,30,0
Alexander McQueen,Avant-garde,2012,Fall,33.51944249471028,4.200862356521531,1.6580990082970215,57.52244078318278,0.1311117976357539,0.2161974793007725,0.5969377818019129,0.8666007319239616,0.45016902589843505,30,0
Alexander McQueen,Avant-garde,2012,Pre-Fall,35.072597835374914,4.142664610569491,1.4634283402637536,79.88998446257219,0.1210186468591994,0.21431167252267447,0.8212392171982918,0.8164662914232624,0.6650406396623053,23,0
Alexander McQueen,Avant-garde,2012,Resort,24.957749088605244,8.505059782383423,1.029147130149761,88.00764465332031,0.06716676419957847,0.16489804912334358,0.8894937932525062,0.8618753979179762,0.061413723707043816,24,0
Alexander McQueen,Avant-garde,2012,Spring,30.62560971577962,6.438871684381001,2.704902058272134,53.48887926737468,0.16259041491132228,0.1703571201827979,0.5543691602011832,0.4269469997891233,0.46737222088225594,30,0
Alexander McQueen,Avant-garde,2013,Fall,30.39223117828369,5.079993472807932,2.6906123318987087,32.390248489379886,0.4343078710061808,0.2940917622362626,0.3814256280519068,0.6819063148780996,0.36191197595426605,30,0
Alexander McQueen,Avant-garde,2013,Pre-Fall,22.002742369969685,8.762994199747851,1.608456549908064,71.64476331075032,0.09816280142807708,0.1317803295256023,0.7255205337040437,0.8365745855941927,0.11998897718075245,30,0
Alexander McQueen,Avant-garde,2013,Resort,21.63640580858503,8.375165909110281,2.522934483307316,73.60153675079346,0.08452250660590023,0.14815052412166882,0.7364680779891621,0.4751996362487234,0.3343701837332032,28,0
Alexander McQueen,Avant-garde,2013,Spring,32.31128670374552,8.655113386395328,2.2910830905955444,66.68429692586263,0.2105303221122051,0.22576790058731,0.7019968688403567,0.6284091379734776,0.47262204432165666,30,0
Alexander McQueen,Avant-garde,2014,Fall,25.667061614990235,4.0179021468282565,2.828900743850141,35.794847615559895,0.2068294158949827,0.18836251664634965,0.36623478027544915,0.44837958272876227,0.3197110569051363,30,0
Alexander McQueen,Avant-garde,2014,Pre-Fall,24.645554987589517,6.50903416056789,2.4832563648310373,13.732733790079752,0.40200478659284605,0.26215683544652824,0.1811769973258177,0.43444438611617897,0.4780709797306193,15,0
Alexander McQueen,Avant-garde,2014,Resort,14.601116271246047,4.39013236545835,2.313791936284046,78.25710768926712,0.07063189274347605,0.1243288568092831,0.7852877796377454,0.7816210431159388,0.25718688474870505,21,0
Alexander McQueen,Avant-garde,2014,Spring,32.31828556060791,4.096150712368815,2.5814291979651696,48.425954818725586,0.20755079868876683,0.1873592483845319,0.513809420485422,0.6675427966636519,0.3423486161080913,30,0
Alexander McQueen,Avant-garde,2015,Fall,25.905376307169597,4.994823633840286,2.620863352086111,30.334971936543784,0.17902954262538498,0.14428414762189187,0.3318915119797612,0.3957975547318992,0.4261684047560725,30,0
Alexander McQueen,Avant-garde,2015,Pre-Fall,24.44660970899794,2.5047983776635485,1.6173994573610109,44.627860599093964,0.3177265979880467,0.16183917099547565,0.4904758305980617,0.9169811331379587,0.18484788207971936,18,0
Alexander McQueen,Avant-garde,2015,Resort,25.19003300666809,4.958173686108202,1.7084633101042037,76.52413177490234,0.09362488092826673,0.21450868482217236,0.7751815785095095,0.43327448370402255,0.24351755159000552,20,0
Alexander McQueen,Avant-garde,2015,Spring,26.385705312093098,5.522643501863673,2.113963644865221,38.90718288421631,0.16870070838530854,0.20456910911904505,0.41393177139929804,0.7675528487036469,0.14033298616409298,30,0
Alexander McQueen,Avant-garde,2016,Fall,33.575455698473704,2.3725188427898662,2.669104789083129,47.95211752529802,0.10891206142704545,0.13391393084297515,0.49070156284880917,0.36144909365586225,0.3768673629813838,29,0
Alexander McQueen,Avant-garde,2016,Pre-Fall,26.280152161916096,6.667149940009943,1.617618224802471,68.69907582600912,0.253031533652544,0.20152305092916165,0.730604977052814,0.8424502461808436,0.15236684358562858,30,0
Alexander McQueen,Avant-garde,2016,Resort,25.61738576889038,5.4791767601708905,1.6821094534195977,67.97387428283692,0.22933851923445855,0.18350747050089963,0.7357333417652174,0.7875048401739796,0.45388865464461137,30,0
Alexander McQueen,Avant-garde,2016,Spring,26.158173429554907,4.464721746028439,2.6499610215941365,35.01181086178484,0.28952320011827193,0.21554509689050377,0.37707181482081265,0.6446693924925146,0.25732312200548146,29,0
Alexander McQueen,Avant-garde,2017,Fall,25.55682918943208,5.836154740830666,1.8341641462537452,32.667869567871094,0.1658378776939393,0.15810544394198098,0.34731657220689766,0.6956313769575064,0.4211932204328263,29,0
Alexander McQueen,Avant-garde,2017,Pre-Fall,25.358199977874754,5.619862735210643,1.6400502929685052,58.35246225992839,0.260171453159675,0.18374948138956562,0.610984849482247,0.7857732551884457,0.15849554689897014,30,0
Alexander McQueen,Avant-garde,2017,Resort,24.858808771769205,4.247157814697103,1.6829109672109657,60.77739919026693,0.2750660226821278,0.18567954215339252,0.6696951760334273,0.9780289526782314,0.09820373420425584,30,0
Alexander McQueen,Avant-garde,2017,Spring,29.20160484313965,3.0906409692082915,2.4960753433889034,47.381028010927395,0.34046828699304627,0.17761356007136436,0.5465977129575572,0.6189955877581805,0.2885607369823873,29,0
Alexander McQueen,Avant-garde,2018,Fall,35.64329844507678,2.622733342095942,2.7898766445602443,37.62094122788002,0.3603303207221986,0.2862288687481931,0.43985964334068883,0.4650316746220991,0.3570465522071282,29,0
Alexander McQueen,Avant-garde,2019,Fall,25.530367818372003,4.816510257096916,2.245172354280679,40.32329592211493,0.24334296256657043,0.1653589319994817,0.4440806058287813,0.5406131369276008,0.43166958895342783,29,0
Alexander McQueen,Avant-garde,2019,Pre-Fall,18.267350514729817,4.030074245349551,1.6998416346803427,46.08539609909057,0.281089087910143,0.12669328891468504,0.5049302082745979,0.9382740730388512,0.16618879949384263,30,0
