brand,tier,year,season,dispersion_mean,dispersion_std,lab_entropy_mean,mean_L,saturation_mean,saturation_std,value_mean,hue_conc_mean,hue_mean,n_images,ARI_raw,ARI,vix_annual_mean,gdp_growth_world,recession,ecb_rate,eu_gdp_growth,eu_recession,vix_z,gdp_z,ecb_z,eu_gdp_z,vix_z_lag1,gdp_z_lag1,recession_lag1,ecb_z_lag1,eu_gdp_z_lag1,eu_recession_lag1,cd_change
Isabel Marant,Fast Fashion,2009,Fall,28.44597187042236,5.756575734566458,2.183960542363738,35.012093766530356,0.1595842303872729,0.2017801025422806,0.3648860197044598,0.567725517258293,0.2211046654743452,30,0.5690413247769626,0.3215646430594828,31.48,-1.31864911944238,1,0.47,-4.31208831896211,0,1.9006609694272278,-1.939252283220413,0.13104604457876737,-1.9738151775755362,2.094361360203243,-0.29170997848009034,1.0,2.4351676590574134,-0.18053425907049464,0.0,0
Isabel Marant,Fast Fashion,2010,Fall,31.05490706761678,7.78795054050472,2.426665992510059,33.90761111577352,0.3143242303253462,0.2640474904798546,0.3907322941383657,0.7908831292306725,0.3262763771625623,30,1.584391265127601,0.8953378066821656,22.55,4.52424032554684,0,0.25,2.18180099957819,0,0.4711200689067164,0.8828773580013044,-0.0685235440768634,0.38829235941705603,1.9006609694272278,-1.939252283220413,1.0,0.13104604457876737,-1.9738151775755362,0.0,0
Isabel Marant,Fast Fashion,2010,Spring,29.453012466430664,5.779496338467598,2.4922765836328424,45.07369575500488,0.2700096786951646,0.2192192281390766,0.5101171333824284,0.5576188522073807,0.4052410201933778,30,0.6854177248633605,0.3873288220828569,22.55,4.52424032554684,0,0.25,2.18180099957819,0,0.4711200689067164,0.8828773580013044,-0.0685235440768634,0.38829235941705603,1.9006609694272278,-1.939252283220413,1.0,0.13104604457876737,-1.9738151775755362,0.0,0
Isabel Marant,Fast Fashion,2011,Fall,24.36820562954607,8.395418590939942,2.467457940229614,40.36774069687416,0.1943030517033525,0.1826219044091342,0.4275694459162267,0.4660128881821323,0.4341888454622942,29,0.3605675649403978,0.2037563446983946,24.2,3.33900335400304,0,0.5,1.96060087405085,1,0.7352569654194647,0.31040505285882874,0.15826007939544431,0.30783233645360886,0.4711200689067164,0.8828773580013044,0.0,-0.0685235440768634,0.38829235941705603,0.0,0
Isabel Marant,Fast Fashion,2011,Spring,29.179762840270996,6.872935258545903,2.3095470969181293,36.61407102857317,0.3606132793777755,0.2814821472575183,0.4196848817035955,0.7555153830774232,0.3815611246077044,28,1.5839492856809223,0.8950880445703076,24.2,3.33900335400304,0,0.5,1.96060087405085,1,0.7352569654194647,0.31040505285882874,0.15826007939544431,0.30783233645360886,0.4711200689067164,0.8828773580013044,0.0,-0.0685235440768634,0.38829235941705603,0.0,0
Isabel Marant,Fast Fashion,2012,Fall,28.68650697072347,8.720932746359,2.3577121253105613,37.038503646850586,0.301922651463033,0.2461836081457037,0.4186028840844519,0.6300259114576385,0.2685294613722323,30,1.261198739341995,0.7127020565730224,17.8,2.73120979279709,0,0.13,-0.764417073932009,1,-0.28927402711483224,0.016839302390280763,-0.1773796833435711,-0.6833741836503191,0.7352569654194647,0.31040505285882874,0.0,0.15826007939544431,0.30783233645360886,1.0,0
Isabel Marant,Fast Fashion,2012,Spring,29.96033624013265,6.320723036590143,2.497419776212476,50.47998797098795,0.3637370155374519,0.2340139412269018,0.5849477164550995,0.5927509680120069,0.3800324431840796,30,0.7353259482406518,0.4155319056503675,17.8,2.73120979279709,0,0.13,-0.764417073932009,1,-0.28927402711483224,0.016839302390280763,-0.1773796833435711,-0.6833741836503191,0.7352569654194647,0.31040505285882874,0.0,0.15826007939544431,0.30783233645360886,1.0,0
Isabel Marant,Fast Fashion,2013,Fall,15.023117526372271,6.580688921678523,2.09979573478241,30.239063707987462,0.1580942585781216,0.1444165774352444,0.3209286335531001,0.6716317771098975,0.4495852140352129,30,-0.4467560575975592,-0.2524613695715847,14.23,2.88814205849093,0,0.0,-0.0330405739034347,1,-0.8607702213878698,0.09263796379717743,-0.2953071675491711,-0.41734101641347954,-0.28927402711483224,0.016839302390280763,0.0,-0.1773796833435711,-0.6833741836503191,1.0,0
Isabel Marant,Fast Fashion,2013,Spring,35.61249193651923,4.604882926339962,2.791910447214214,49.657488855822336,0.3575001335511112,0.2995351118613599,0.5589614686324292,0.5359996718984695,0.4831375937655263,29,1.9025865099487824,1.0751495986715305,14.23,2.88814205849093,0,0.0,-0.0330405739034347,1,-0.8607702213878698,0.09263796379717743,-0.2953071675491711,-0.41734101641347954,-0.28927402711483224,0.016839302390280763,0.0,-0.1773796833435711,-0.6833741836503191,1.0,0
Isabel Marant,Fast Fashion,2014,Fall,18.47856806119283,8.11643602848375,2.0422374512996333,31.30819902420044,0.2478728424393882,0.1533609891797312,0.3342805291725012,0.8004120196785304,0.3076529598510824,30,-0.1922008638458446,-0.1086125022686848,14.18,3.13301748764181,0,-0.09,1.63272217207499,0,-0.8687743697670443,0.2109133844636149,-0.3769492719992019,0.18856871566085162,-0.8607702213878698,0.09263796379717743,0.0,-0.2953071675491711,-0.41734101641347954,1.0,0
