brand,tier,year,season,dispersion_mean,dispersion_std,lab_entropy_mean,mean_L,saturation_mean,saturation_std,value_mean,hue_conc_mean,hue_mean,n_images,bw_collection,vix_annual_mean,gdp_growth_world,recession,ecb_rate,eu_gdp_growth,eu_recession,vix_z,gdp_z,ecb_z,eu_gdp_z,disp_season_mean,disp_season_std,dispersion_z,vix_z_lag1,gdp_z_lag1,recession_lag1,ecb_z_lag1,eu_gdp_z_lag1,eu_recession_lag1,cd_change,ARI,aesthetic_mean,aesthetic_std,aesthetic_resid_mean,clip_within_sim,n_clip_images,semantic_boldness
Alexander McQueen,Avant-garde,2005,Fall,23.612238216400147,4.804974321606083,2.117895419053879,46.736280822753905,0.2311824186247462,0.1595602562026478,0.5115945170463063,0.8197948596978065,0.4304269312261293,30,0,12.81,4.05453629039749,0,1.02,1.98357902362464,0,-1.1661416550323187,0.6112909923791068,0.2822190962394617,0.2505588039985681,28.592363732299585,4.249681963656064,-1.1718819333988375,-0.7374548019479292,0.8411873207340066,0.0,0.266354609308168,0.4892152350646045,0.0,0,-0.4805281835397907,4.825764705882353,0.451835875361071,0.1195265169849448,0.8465725183486938,30,-0.07867978917595629
Alexander McQueen,Avant-garde,2005,Spring,26.144489669799803,3.656037505912781,2.7489294803525928,65.39811604817709,0.1449916780248283,0.1489294547221688,0.6706222320586133,0.4671281200402807,0.2756886852410104,30,0,12.81,4.05453629039749,0,1.02,1.98357902362464,0,-1.1661416550323187,0.6112909923791068,0.2822190962394617,0.2505588039985681,27.703460019210286,4.907545723221992,-0.3176680233530171,-0.7374548019479292,0.8411873207340066,0.0,0.266354609308168,0.4892152350646045,0.0,0,-0.6493545658803784,5.050410958904109,0.4161277793744647,0.0257698629267452,0.8037844896316528,30,0.25999930332395976
Alexander McQueen,Avant-garde,2006,Fall,29.770628134409588,8.175443097388756,2.341094908259437,33.58349631627401,0.2952387804891293,0.2744630938479471,0.3517736017603737,0.6979059387707399,0.25510577622383,30,0,12.81,4.47616958858073,0,1.76,3.56754077134353,0,-1.1661416550323187,0.8279911351526352,0.8692051126973304,0.8639037441732759,28.58935728051197,4.413756815967084,0.2676338781566502,-1.1661416550323187,0.6112909923791068,0.0,0.2822190962394617,0.2505588039985681,0.0,0,0.9650712194653838,5.173877551020408,0.4037393071657028,0.5403480022072585,0.8255705833435059,30,0.0829788651454049
Alexander McQueen,Avant-garde,2006,Spring,24.482699807484945,4.724307297829484,2.7780860968527015,52.31312026977539,0.1354283103566616,0.1367620933660172,0.5233226259883803,0.6012709139033076,0.3492409114617647,30,0,12.81,4.47616958858073,0,1.76,3.56754077134353,0,-1.1661416550323187,0.8279911351526352,0.8692051126973304,0.8639037441732759,28.92811445260635,3.705143858490408,-1.1997954235797494,-1.1661416550323187,0.6112909923791068,0.0,0.2822190962394617,0.2505588039985681,0.0,0,-0.4037364839594907,4.848725490196078,0.4169328639087868,0.299725636656918,0.8667038083076477,30,-1.0477136049777576
Alexander McQueen,Avant-garde,2007,Fall,29.049981117248535,11.326268756425184,2.103227943002534,36.33029004732768,0.1722983689449727,0.233104691096548,0.3817537289738344,0.6279052228457085,0.1883349936875204,30,0,17.54,4.41384473328112,0,2.84,3.14183566763455,0,-0.4067076418903105,0.7959590231255262,1.725887406987192,0.6990613344733725,30.368211866619944,3.974088955030792,-0.3317064022189697,-1.1661416550323187,0.8279911351526352,0.0,0.8692051126973304,0.8639037441732759,0.0,0,0.3810724156707298,4.925416666666666,0.4464124047198053,0.3278485942933368,0.8162667751312256,30,-0.3662104823898879
Alexander McQueen,Avant-garde,2007,Spring,26.649890570804992,3.4327896261315907,2.511133061790266,46.20308270947687,0.2971204519137611,0.2432992580081106,0.4846158324174004,0.5434623297281493,0.2893352177874238,29,0,17.54,4.41384473328112,0,2.84,3.14183566763455,0,-0.4067076418903105,0.7959590231255262,1.725887406987192,0.6990613344733725,29.098009917745188,3.4726393213681144,-0.7049736872689996,-1.1661416550323187,0.8279911351526352,0.0,0.8692051126973304,0.8639037441732759,0.0,0,0.5155920342513437,5.404823529411765,0.4644751563521426,0.7666443585761544,0.8399105668067932,30,-0.5164236790119807
Alexander McQueen,Avant-garde,2008,Fall,34.286555735270184,5.261884846731009,2.275719061446145,42.296429824829104,0.2144696402328088,0.2060445542248204,0.4573722964381488,0.6194964680493226,0.2029223843519472,30,0,32.69,2.09239458384161,1,3.01,0.617986886948614,0,2.025728996397518,-0.3971596916267961,1.860735545903189,-0.2782286042698642,28.6693630609622,3.7434362467030735,1.5005445008593832,-0.4067076418903105,0.7959590231255262,0.0,1.725887406987192,0.6990613344733725,0.0,0,0.3369771594550262,5.133563218390805,0.5079644215051907,0.537026684175604,0.8291446566581726,30,0.22471668875846512
Alexander McQueen,Avant-garde,2008,Spring,32.02043399810791,3.030047227750497,2.5539073405146406,50.32154769897461,0.2513668866616984,0.2201890661739838,0.5443992253862632,0.5123347419915032,0.4915973851334717,30,0,32.69,2.09239458384161,1,3.01,0.617986886948614,0,2.025728996397518,-0.3971596916267961,1.860735545903189,-0.2782286042698642,28.10789548556323,3.269246357415162,1.1967707798069218,-0.4067076418903105,0.7959590231255262,0.0,1.725887406987192,0.6990613344733725,0.0,0,0.3440771080023537,4.906969696969697,0.4415336318469385,0.1555910273188603,0.8283023238182068,30,0.2895060079676425
Alexander McQueen,Avant-garde,2009,Fall,25.238282532527528,5.658264312594451,2.319974563610867,17.273361074513403,0.3321125723727947,0.2281276439742638,0.2092178540898422,0.4932028033453594,0.532936789489683,29,0,31.48,-1.31864911944238,1,0.47,-4.31208831896211,0,1.8314551790821203,-2.1502794302560324,-0.1540542943711162,-2.187262510284854,30.53578096029911,4.207440109405627,-1.2590787486027806,2.025728996397518,-0.3971596916267961,1.0,1.860735545903189,-0.2782286042698642,0.0,0,1.3121868639955456,5.430652173913043,0.3489374485422409,0.3690690451784549,0.8815829753875732,30,1.1496121007499682
Alexander McQueen,Avant-garde,2009,Pre-Fall,33.282117571149556,5.001301804569576,1.3087577581417833,80.38609613691058,0.0898364681399293,0.1743894917078308,0.8164173698486826,0.8400352910286164,0.1235516929130202,28,0,31.48,-1.31864911944238,1,0.47,-4.31208831896211,0,1.8314551790821203,-2.1502794302560324,-0.1540542943711162,-2.187262510284854,26.958579617165498,5.191417410903687,1.2180754220807883,2.025728996397518,-0.3971596916267961,1.0,1.860735545903189,-0.2782286042698642,0.0,0,-1.810473608956341,4.568928571428572,0.3237092807021425,-0.0107207544105758,0.8065862059593201,28,0.08839811420779468
