key,brand,tier,year,season,segmented,dispersion,lab_entropy,mean_L,mean_saturation,std_saturation,mean_value,hue_concentration,mean_hue
230126,Lacoste,Fast Fashion,2008,Fall,True,27.173236846923828,1.8273552419657615,50.44156265258789,0.3206766843795776,0.2442866414785385,0.5281568765640259,0.9400346279144288,0.1242093965411186
280316,Tory Burch,Fast Fashion,2013,Resort,True,32.50762939453125,2.288312878179532,28.24611473083496,0.5674624202139675,0.3188499359741042,0.3605176544040441,0.4728306348623873,0.5046287162071094
1041283,Tory Burch,Fast Fashion,2013,Pre-Fall,True,20.633668899536133,1.3756959522729086,15.178420066833496,0.6029404848702252,0.2769149048375832,0.2099686326794326,0.9229570834258553,0.6125345428548753
773704,Vanessa Bruno,Fast Fashion,2015,Spring,True,31.1724796295166,2.079277689809992,55.95861053466797,0.2631613910198211,0.1674894988536834,0.6225646734237671,0.8102875351905823,0.5693845152854919
355483,Vanessa Bruno,Fast Fashion,2016,Fall,True,18.941953659057617,1.3661747451450994,21.714767456054688,0.3680177628993988,0.1362438797950744,0.2912156879901886,0.8391777873039246,0.6658227443695068
1256375,Tory Burch,Fast Fashion,2011,Pre-Fall,True,18.29090118408203,1.2975005857261492,66.69425201416016,0.3244433104991913,0.1325779855251312,0.7346823811531067,0.9918517470359802,0.0976100042462349
1178796,Tommy Hilfiger,Fast Fashion,2018,Fall,True,28.78719711303711,1.1002522330894986,32.24925994873047,0.7544170022010803,0.2366802394390106,0.5365960597991943,0.8838484287261963,0.2886395156383514
125958,Tory Burch,Fast Fashion,2016,Pre-Fall,True,26.011308670043945,1.7402043795990898,47.61825180053711,0.4916843826808035,0.2069000535204696,0.6049568754658103,0.6744931356317445,0.5171907496424392
636396,Tory Burch,Fast Fashion,2016,Resort,True,27.207054138183594,2.730676208401153,59.70991134643555,0.2572451577540487,0.2056993670274947,0.6303686391785741,0.5792987012369526,0.2251035711672157
641615,Isabel Marant,Fast Fashion,2017,Spring,True,19.1103458404541,1.524608811112499,15.685938835144045,0.5029465108439326,0.208474929866246,0.2067607896849513,0.9820590893823824,0.0787490103319287
814870,Vanessa Bruno,Fast Fashion,2016,Spring,True,31.059406280517575,1.809657813239085,42.45642852783203,0.3785655114240944,0.2179570666258018,0.4801725585237145,0.9726833772833152,0.0953841779688373
561813,Lacoste,Fast Fashion,2015,Fall,True,20.134349822998047,2.1482955585735786,41.59862518310547,0.2082433253526687,0.2089940458536148,0.4383529722690582,0.7457848191261292,0.5701529383659363
